brand_name_normalized,generic_names_normalized,registration_numbers,review_reason
nasathera cpm,paracetamol + phenylpropanolamine (as hydrochloride)+ chlorphenamine maleate | phenylpropanolamine hydrochloride + chlorphenamine maleate,DR-XY36065 | DR-XY44499,same_brand_name_has_multiple_generic_names
xypen,ciprofloxacin | ciprofloxacin hydrochloride,DR-XY36235 | DR-XY42238,same_brand_name_has_multiple_generic_names
decolgen forte,phenylpropanolamine hydrochloride + chlorphenamine maleate + paracetamol | phenylpropanolamine hydrochloride chlorphenamine maleate + paracetamol,DR-XY3624 | DR-XY45716,same_brand_name_has_multiple_generic_names
alzor ccb,olmesartan (as medoxomil) + amlodipine (as besilate) | olmesartan medoxomil + amlodipine (as besilate) | olmesartan medoxomil) + amlodipine (as besilate),DR-XY36290 | DR-XY47903 | DR-XY48197,same_brand_name_has_multiple_generic_names
silvederma,silver sulfadiazine | silver sulfadiazone,DR-XY36319 | DRP-8116-02,same_brand_name_has_multiple_generic_names
levores,levofloxacin | levofloxacin (as hemihydrate),DR-XY36435 | DR-XY49147,same_brand_name_has_multiple_generic_names
tazovex,piperacillin (as sodium) + tazobactam ( as sodium) | piperacillin (as sodium) + tazobactam (as sodium),DR-XY36498 | DR-XY38894,same_brand_name_has_multiple_generic_names
glypressin,terlipressin (as acetate) | terlipressin acetate,DR-XY36684 | DR-XY43597,same_brand_name_has_multiple_generic_names
cefurox,cefuroxime (as axetil) | cefuroxime axetil,DRP-2563 | DRP-3607,same_brand_name_has_multiple_generic_names
allerzet,levocetirizine dihydrochloride | levocetrizine dihyrdrochloride,DR-XY36974 | DR-XY37865,same_brand_name_has_multiple_generic_names
loxeva,levofloxacin (as hemihydrate) | levofloxacin as hemihydrate,DRP-2082-02 | DRP-5178,same_brand_name_has_multiple_generic_names
liquisone,prednisolone | prednisolone (as sodium phosphate),DR-XY37098 | DR-XY47367,same_brand_name_has_multiple_generic_names
vertegra,betahistine dihydrochloride | betahistine hydrochloride,DR-XY37103 | DRP-6968-01,same_brand_name_has_multiple_generic_names
glitaz,pioglitazone (as hydrochloride) | pioglitazone hydrochloride,DR-XY37130 | DRP-2807-02,same_brand_name_has_multiple_generic_names
zilden,sildenafil (as citrate) | sildenafil citrate,DR-XY48849 | DR-XY48856,same_brand_name_has_multiple_generic_names
visine,tetrahydrozoline hcl | tetrahydrozoline hydrochloride,DR-XY46844 | DR-XY47700,same_brand_name_has_multiple_generic_names
zarnat plus,losartan potasium + hydrochlorothiazide | losartan potassium + hydrochlorothiazide,DR-XY37659 | DRP-6130-05,same_brand_name_has_multiple_generic_names
tocovid suprabio,d-alpha tocotrienol +d-gamma+d-delta tocotrienol + d-alpha tocopherol+plant squalene+phytosterol+phytocarotenoid | multivitamins,DR-XY41652 | DR-XY41835,same_brand_name_has_multiple_generic_names
bee-all,thiamine hydrochloride + pyridoxine hydrochloride + cyanocobalamin | thiamine mononitrate + pyridoxine hydrochloride + cyanocobalamin,DR-XY37831 | DR-XY38148,same_brand_name_has_multiple_generic_names
medifer,multivitamins + iron | thiamine mononitrate (vitamin b1) + pyridoxine hydrochloride (vitamin b6) + cyanocobalamin (vitamin b12) + lysine hydrochloride + iron,DR-XY37927 | DRP-236-04,same_brand_name_has_multiple_generic_names
cefogram,cefotaxime (as sodium) | cefotaxime as sodium,DR-XY37948 | DRP-16307,same_brand_name_has_multiple_generic_names
protec,levonorgestrel + ethinylestradiol; ferrous fumarate | medroxyprogesterone acetate,DR-XY38297 | DR-XY42049,same_brand_name_has_multiple_generic_names
cetrizil,cetirizine hydrochloride | cetrizine hydrochloride,DR-XY38609 | DRP-8764,same_brand_name_has_multiple_generic_names
avator,atorvastatin (as calcium trihydrate) | atorvastatin (as calcium),DRP-4295-02 | DRP-4879-02,same_brand_name_has_multiple_generic_names
azomac,azithromycin (as dihydrate) | azithromycin dihydrate,DR-XY38805 | DR-XY38806,same_brand_name_has_multiple_generic_names
s-celepra,escitalopram ( as oxalate ) | escitalopram (as oxalate),DR-XY39592 | DR-XY39916,same_brand_name_has_multiple_generic_names
neuropse,citicoline ( as sodium ) | citicoline (as sodium),DR-XY39468 | DR-XY40037,same_brand_name_has_multiple_generic_names
healthcare,amoxicillin (as trihydrate) | cotrimoxazole | dextromethorphan hydrochloride + guaifenesin,DR-XY39829 (For Export Only) | DR-XY39937 (For Export Only) | DR-XY40219 (For Export Only),same_brand_name_has_multiple_generic_names
endusol-m,balanced multiple maintenance solution with 5% dextrose (adult) | balanced multiple maintenance solution with 5% dextrose (for adult),DR-XY39583 | DR-XY41365,same_brand_name_has_multiple_generic_names
endusol-imb,balanced multiple maintenance solution with 5% dextrose (for pedia) | balanced multiple maintenance solution with 5% dextrose (pedia),DR-XY39703 | DR-XY41244,same_brand_name_has_multiple_generic_names
