Drug A,Drug B,Comparison Type,Jaro-Winkler Sim,Levenshtein Dist,Soundex Match
Addyi (Brand),Adquey (Brand),Brand-to-Brand,0.76,4,75%
Vanos (Brand),Vonjo (Brand),Brand-to-Brand,0.76,3,100%
Exxua (Brand),Exjade (Brand),Brand-to-Brand,0.76,4,75%
Infed (Brand),Invega (Brand),Brand-to-Brand,0.76,3,75%
Arava (Brand),Aredia (Brand),Brand-to-Brand,0.76,3,75%
Arbli (Brand),Arazlo (Brand),Brand-to-Brand,0.76,3,75%
Ovide (Brand),Opvee (Brand),Brand-to-Brand,0.76,3,75%
Zybic (Brand),Zytiga (Brand),Brand-to-Brand,0.76,3,75%
Zimhi (Brand),Zomig (Brand),Brand-to-Brand,0.76,3,75%
Nityr (Brand),Niacor (Brand),Brand-to-Brand,0.76,3,75%
Paxil (Brand),Pavblu (Brand),Brand-to-Brand,0.76,3,75%
Paxil (Brand),Pavblu (Brand),Brand-to-Brand,0.76,3,75%
Emsam (Brand),Emzahh (Brand),Brand-to-Brand,0.76,3,75%
Vyloy (Brand),Vyalev (Brand),Brand-to-Brand,0.76,3,75%
Colazal (Brand),colestipol hydrochloride (Generic),Brand-to-Generic,0.76,6,75%
Mirvaso (Brand),Mirapex Er (Brand),Brand-to-Brand,0.76,7,100%
Belbuca (Brand),belinostat (Generic),Brand-to-Generic,0.76,6,75%
Pregnyl (Brand),prednisone (Generic),Brand-to-Generic,0.76,6,75%
Colcrys (Brand),colestipol hydrochloride (Generic),Brand-to-Generic,0.76,7,75%
Gengraf (Brand),Genotropin (Brand),Brand-to-Brand,0.76,6,75%
Ospomyv (Brand),ospemifene (Generic),Brand-to-Generic,0.76,6,100%
Motofen (Brand),Motpoly Xr (Brand),Brand-to-Brand,0.76,6,75%
Brekiya (Brand),Brexafemme (Brand),Brand-to-Brand,0.76,7,75%
Cerebyx (Brand),Cerubidine (Brand),Brand-to-Brand,0.76,6,75%
Veregen (Brand),vericiguat (Generic),Brand-to-Generic,0.76,6,75%
Proleukin (Brand),prilocaine hydrochloride (Generic),Brand-to-Generic,0.76,5,100%
degarelix (Generic),desflurane (Generic),Generic-to-Generic,0.76,8,75%
foscarnet sodium (Generic),Focalin Xr (Brand),Generic-to-Brand,0.76,6,75%
Clariscan (Brand),clemastine fumarate (Generic),Brand-to-Generic,0.76,6,75%
Amphadase (Brand),amantadine hydrochloride (Generic),Brand-to-Generic,0.76,5,75%
Amphadase (Brand),Amantadine (Brand),Brand-to-Brand,0.76,5,75%
Pramosone (Brand),prilocaine hydrochloride (Generic),Brand-to-Generic,0.76,5,75%
Neoprofen (Brand),Nephroscan (Brand),Brand-to-Brand,0.76,5,75%
Inflectra (Brand),inclisiran (Generic),Brand-to-Generic,0.76,5,75%
Subvenite (Brand),sufentanil hydrochloride (Generic),Brand-to-Generic,0.76,7,100%
lidocaine (Generic),Lincomycin (Brand),Generic-to-Brand,0.76,6,75%
lidocaine (Generic),Lincomycin (Brand),Generic-to-Brand,0.76,6,75%
lidocaine hydrochloride (Generic),Lincomycin (Brand),Generic-to-Brand,0.76,6,75%
lidocaine hydrochloride (Generic),Lincomycin (Brand),Generic-to-Brand,0.76,6,75%
Krystexxa (Brand),Kristalose (Brand),Brand-to-Brand,0.76,6,100%
tenapanor hydrochloride (Generic),telavancin (Generic),Generic-to-Generic,0.76,5,75%
tenapanor hydrochloride (Generic),telavancin hydrochloride (Generic),Generic-to-Generic,0.76,5,75%
colestipol hydrochloride (Generic),cholestyramine (Generic),Generic-to-Generic,0.76,8,100%
crotamiton (Generic),cysteamine hydrochloride (Generic),Generic-to-Generic,0.76,6,75%
dantrolene sodium (Generic),daridorexant (Generic),Generic-to-Generic,0.76,7,75%
enasidenib mesylate (Generic),enzalutamide (Generic),Generic-to-Generic,0.76,8,75%
paroxetine (Generic),Prometrium (Brand),Generic-to-Brand,0.76,5,75%
paroxetine hydrochloride (Generic),Prometrium (Brand),Generic-to-Brand,0.76,5,75%
prilocaine hydrochloride (Generic),pyridostigmine bromide (Generic),Generic-to-Generic,0.76,7,75%
Azulfidine (Brand),azathioprine (Generic),Brand-to-Generic,0.76,6,75%
trabectedin (Generic),tranexamic acid (Generic),Generic-to-Generic,0.76,9,75%
Peridex (Brand),Pred Forte (Brand),Brand-to-Brand,0.7596,8,75%
trypan blue (Generic),triheptanoin (Generic),Generic-to-Generic,0.7596,9,75%
Colazal (Brand),colesevelam hydrochloride (Generic),Brand-to-Generic,0.7594,7,75%
Carbzah (Brand),cariprazine (Generic),Brand-to-Generic,0.7594,7,75%
Proscar (Brand),Proctosol-Hc (Brand),Brand-to-Brand,0.7594,7,75%
Proscar (Brand),propranolol hydrochloride (Generic),Brand-to-Generic,0.7594,7,75%
Vascepa (Brand),vasopressin (Generic),Brand-to-Generic,0.7594,7,75%
Tri-Mili (Brand),Tri-Lo-Linyah (Brand),Brand-to-Brand,0.7594,6,75%
Triderm (Brand),trifarotene (Generic),Brand-to-Generic,0.7594,7,75%
besifloxacin (Generic),moxifloxacin hydrochloride (Generic),Generic-to-Generic,0.7593,3,75%
clemastine fumarate (Generic),telmisartan (Generic),Generic-to-Generic,0.7591,8,75%
crovalimab (Generic),toripalimab (Generic),Generic-to-Generic,0.7591,4,75%
Apresoline (Brand),ziprasidone (Generic),Brand-to-Generic,0.7591,6,75%
Apresoline (Brand),ziprasidone mesylate (Generic),Brand-to-Generic,0.7591,6,75%
olsalazine sodium (Generic),balsalazide sodium (Generic),Generic-to-Generic,0.7591,3,75%
rasagiline mesylate (Generic),Saxagliptin (Brand),Generic-to-Brand,0.7591,6,75%
ulipristal acetate (Generic),alprostadil (Generic),Generic-to-Generic,0.7591,5,75%
Bronchitol (Brand),brincidofovir (Generic),Brand-to-Generic,0.7588,8,100%
deferiprone (Generic),Differin Epiduo (Brand),Generic-to-Brand,0.7588,9,75%
taurolidine and heparin (Generic),Trulance Immediate Release (Brand),Generic-to-Brand,0.7587,19,75%
eplontersen (Generic),epoetin alfa (Generic),Generic-to-Generic,0.7582,9,75%
aceclidine (Generic),azacitidine (Generic),Generic-to-Generic,0.7581,4,75%
crovalimab (Generic),cosibelimab (Generic),Generic-to-Generic,0.7581,5,75%
Cystadrops (Brand),cosyntropin (Generic),Brand-to-Generic,0.7581,6,75%
doravirine (Generic),desipramine hydrochloride (Generic),Generic-to-Generic,0.7581,7,75%
Monoferric (Brand),menotropins (Generic),Brand-to-Generic,0.7581,7,75%
leniolisib (Generic),linerixibat (Generic),Generic-to-Generic,0.7581,7,75%
metoprolol succinate (Generic),misoprostol (Generic),Generic-to-Generic,0.7581,4,75%
metoprolol tartrate (Generic),misoprostol (Generic),Generic-to-Generic,0.7581,4,75%
palifermin (Generic),pilocarpine hydrochloride (Generic),Generic-to-Generic,0.7581,6,75%
paroxetine (Generic),Promethegan (Brand),Generic-to-Brand,0.7581,7,75%
paroxetine hydrochloride (Generic),Promethegan (Brand),Generic-to-Brand,0.7581,7,75%
plozasiran (Generic),pilocarpine hydrochloride (Generic),Generic-to-Generic,0.7581,7,75%
rezafungin (Generic),rifapentine (Generic),Generic-to-Generic,0.7581,6,75%
sertraline hydrochloride (Generic),suzetrigine (Generic),Generic-to-Generic,0.7581,5,75%
Vestura (Brand),Questran (Brand),Brand-to-Brand,0.7579,4,75%
Halaven (Brand),Dalvance (Brand),Brand-to-Brand,0.7579,5,75%
Brevibloc (Brand),brexpiprazole (Generic),Brand-to-Generic,0.7577,8,75%
oxycodone (Generic),oxymetazoline hydrochloride (Generic),Generic-to-Generic,0.7577,7,75%
oxycodone hydrochloride (Generic),oxymetazoline hydrochloride (Generic),Generic-to-Generic,0.7577,7,75%
Motegrity (Brand),motixafortide (Generic),Brand-to-Generic,0.7577,8,75%
Cortenema (Brand),crotamiton (Generic),Brand-to-Generic,0.7576,8,100%
Cortenema (Brand),cysteamine hydrochloride (Generic),Brand-to-Generic,0.7576,7,75%
piroxicam (Generic),prilocaine hydrochloride (Generic),Generic-to-Generic,0.7576,7,75%
rifaximin (Generic),rufinamide (Generic),Generic-to-Generic,0.7576,6,75%
rifaximin (Generic),rufinamide mesylate (Generic),Generic-to-Generic,0.7576,6,75%
abemaciclib (Generic),abrocitinib (Generic),Generic-to-Generic,0.7576,6,75%
clevidipine (Generic),clindamycin phosphate (Generic),Generic-to-Generic,0.7576,8,75%
Cycloserine (Brand),Cyklokapron (Brand),Brand-to-Brand,0.7576,6,100%
defibrotide sodium (Generic),desipramine hydrochloride (Generic),Generic-to-Generic,0.7576,5,75%
Zumandimine (Brand),rimantadine (Generic),Brand-to-Generic,0.7576,5,75%
Zumandimine (Brand),rimantadine hydrochloride (Generic),Brand-to-Generic,0.7576,5,75%
flibanserin (Generic),fluvastatin sodium (Generic),Generic-to-Generic,0.7576,6,75%
Primaxin Iv (Brand),pralsetinib (Generic),Brand-to-Generic,0.7576,7,75%
natalizumab (Generic),vedolizumab (Generic),Generic-to-Generic,0.7576,4,75%
rabeprazole sodium (Generic),rasburicase (Generic),Generic-to-Generic,0.7576,7,75%
sumatriptan (Generic),suzetrigine (Generic),Generic-to-Generic,0.7576,6,75%
sumatriptan succinate (Generic),suzetrigine (Generic),Generic-to-Generic,0.7576,6,75%
fosfomycin promethazine (Generic),fosaprepitant dimeglumine (Generic),Generic-to-Generic,0.7575,15,75%
Fosfomycin Tromethamine (Brand),fosaprepitant dimeglumine (Generic),Brand-to-Generic,0.7575,14,75%
fluconazole (Generic),fluorometholone (Generic),Generic-to-Generic,0.7574,8,75%
fluconazole (Generic),fluorometholone acetate (Generic),Generic-to-Generic,0.7574,8,75%
Cayston (Brand),Cystadane (Brand),Brand-to-Brand,0.7571,5,75%
Crexont (Brand),Cortenema (Brand),Brand-to-Brand,0.7571,6,75%
Cefotan (Brand),Cortenema (Brand),Brand-to-Brand,0.7571,7,75%
cleocin hydrochloride (Generic),celecoxib (Generic),Generic-to-Generic,0.7571,4,75%
cleocin phosphate (Generic),celecoxib (Generic),Generic-to-Generic,0.7571,4,75%
Cleocin (Brand),celecoxib (Generic),Brand-to-Generic,0.7571,4,75%
abciximab (Generic),bevacizumab (Generic),Generic-to-Generic,0.7571,6,75%
alosetron hydrochloride (Generic),Delestrogen (Brand),Generic-to-Brand,0.7571,6,75%
Gleostine (Brand),flucytosine (Generic),Brand-to-Generic,0.7571,6,75%
Ms Contin (Brand),cosyntropin (Generic),Brand-to-Generic,0.7571,8,75%
Deltasone (Brand),paltusotine (Generic),Brand-to-Generic,0.7571,5,75%
sincalide (Generic),amisulpride (Generic),Generic-to-Generic,0.7571,7,75%
Omnitrope (Brand),menotropins (Generic),Brand-to-Generic,0.7571,6,75%
tiopronin (Generic),sofpironium bromide (Generic),Generic-to-Generic,0.7571,6,75%
vestronidase alfa (Generic),estradiol valproate (Generic),Generic-to-Generic,0.7569,13,75%
Idacio (Brand),iodixanol (Generic),Brand-to-Generic,0.7567,6,75%
Boruzu (Brand),burosumab (Generic),Brand-to-Generic,0.7567,6,75%
Ctexli (Brand),cetuximab (Generic),Brand-to-Generic,0.7567,6,75%
Clobex (Brand),celecoxib (Generic),Brand-to-Generic,0.7567,6,75%
Crotan (Brand),Cordarone (Brand),Brand-to-Brand,0.7567,6,75%
Crotan (Brand),Cortrosyn (Brand),Brand-to-Brand,0.7567,5,75%
Crotan (Brand),Cortenema (Brand),Brand-to-Brand,0.7567,6,100%
Endari (Brand),estradiol (Generic),Brand-to-Generic,0.7567,6,75%
Endari (Brand),estradiol acetate (Generic),Brand-to-Generic,0.7567,6,75%
Endari (Brand),Estradiol Valerate (Brand),Brand-to-Brand,0.7567,6,75%
Ngenla (Brand),Nexplanon (Brand),Brand-to-Brand,0.7567,6,75%
Sutent (Brand),Stimufend (Brand),Brand-to-Brand,0.7567,5,75%
Viread (Brand),Varithena (Brand),Brand-to-Brand,0.7567,6,75%
Tyzine (Brand),tizanidne hydrochloride (Generic),Brand-to-Generic,0.7567,4,75%
Retin-A (Brand),ritonavir (Generic),Brand-to-Generic,0.7567,5,75%
Agrylin (Brand),goserelin (Generic),Brand-to-Generic,0.7566,5,75%
Coartem (Brand),Yartemlea (Brand),Brand-to-Brand,0.7566,5,75%
Durysta (Brand),Krystexxa (Brand),Brand-to-Brand,0.7566,5,75%
Suprane (Brand),Cuprimine (Brand),Brand-to-Brand,0.7566,4,75%
Vestura (Brand),estradiol (Generic),Brand-to-Generic,0.7566,6,75%
Vestura (Brand),estradiol acetate (Generic),Brand-to-Generic,0.7566,6,75%
Vestura (Brand),Estradiol Valerate (Brand),Brand-to-Brand,0.7566,6,75%
Vimizim (Brand),imiquimod (Generic),Brand-to-Generic,0.7566,5,75%
Lexapro (Brand),oxaprozin (Generic),Brand-to-Generic,0.7566,5,75%
Lexapro (Brand),oxaprozin (Generic),Brand-to-Generic,0.7566,5,75%
Qfitlia (Brand),Defitelio (Brand),Brand-to-Brand,0.7566,4,75%
Ancobon (Brand),danicopan (Generic),Brand-to-Generic,0.7566,4,75%
Zyclara (Brand),Skyclarys (Brand),Brand-to-Brand,0.7566,4,75%
iohexol (Generic),Miochol E (Brand),Generic-to-Brand,0.7566,6,75%
Fetzima (Brand),cetuximab (Generic),Brand-to-Generic,0.7566,4,75%
Fetzima (Brand),Matzim La (Brand),Brand-to-Brand,0.7566,4,75%
Elinest (Brand),selinexor (Generic),Brand-to-Generic,0.7566,4,75%
Pitocin (Brand),lidocaine (Generic),Brand-to-Generic,0.7566,4,75%
Pitocin (Brand),lidocaine hydrochloride (Generic),Brand-to-Generic,0.7566,4,75%
Ibrance (Brand),Pheburane (Brand),Brand-to-Brand,0.7566,5,75%
Evenity (Brand),Subvenite (Brand),Brand-to-Brand,0.7566,4,75%
Olpruva (Brand),Bilprevda (Brand),Brand-to-Brand,0.7566,4,75%
Lokelma (Brand),pozelimab (Generic),Brand-to-Generic,0.7566,4,75%
Betimol (Brand),Ethamolin (Brand),Brand-to-Brand,0.7566,5,75%
Syprine (Brand),Cuprimine (Brand),Brand-to-Brand,0.7566,4,75%
Valstar (Brand),alosetron hydrochloride (Generic),Brand-to-Generic,0.7566,6,75%
Epclusa (Brand),Hepcludex (Brand),Brand-to-Brand,0.7566,4,75%
ceritinib (Generic),neratinib (Generic),Generic-to-Generic,0.7566,2,75%
Deltasone (Brand),Aldactone (Brand),Brand-to-Brand,0.7566,5,75%
methylnaltrexone bromide (Generic),metronidazole oral (Generic),Generic-to-Generic,0.7563,12,75%
anacaulase (Generic),anastrozole (Generic),Generic-to-Generic,0.7561,7,75%
belinostat (Generic),belumosudil (Generic),Generic-to-Generic,0.7561,6,100%
carvedilol (Generic),Carnitor Sf (Brand),Generic-to-Brand,0.7561,8,75%
carvedilol phosphate (Generic),Carnitor Sf (Brand),Generic-to-Brand,0.7561,8,75%
Cardura Xl (Brand),cariprazine (Generic),Brand-to-Generic,0.7561,6,75%
Provayblue (Brand),propranolol hydrochloride (Generic),Brand-to-Generic,0.7561,6,75%
mirabegron (Generic),mirtazapine (Generic),Generic-to-Generic,0.7561,7,75%
palifermin (Generic),palbociclib (Generic),Generic-to-Generic,0.7561,7,75%
prasterone (Generic),Pralidoxime Chloride (Brand),Generic-to-Brand,0.7561,7,75%
Prometrium (Brand),Prostascint (Brand),Brand-to-Brand,0.7561,7,75%
trametinib (Generic),trastuzumab (Generic),Generic-to-Generic,0.7561,7,75%
travoprost (Generic),tradipitant (Generic),Generic-to-Generic,0.7561,6,75%
Travatan Z (Brand),trabectedin (Generic),Brand-to-Generic,0.7561,7,75%
Lincomycin (Brand),linagliptin (Generic),Brand-to-Generic,0.7561,6,75%
Lincomycin (Brand),linagliptin (Generic),Brand-to-Generic,0.7561,6,75%
zonisamide (Generic),zongertinib (Generic),Generic-to-Generic,0.7561,7,75%
tropicamide (Generic),tranexamic acid (Generic),Generic-to-Generic,0.756,9,75%
trimethobenzamide hydrochloride (Generic),triptorelin pamoate (Generic),Generic-to-Generic,0.7558,11,75%
Conray (Brand),Cozaar (Brand),Brand-to-Brand,0.7556,3,75%
Bylvay (Brand),Byfavo (Brand),Brand-to-Brand,0.7556,4,75%
Immgolis (Brand),imiglucerase (Generic),Brand-to-Generic,0.7556,8,100%
Tranxene (Brand),Tromethamine (Brand),Brand-to-Brand,0.7556,8,75%
Ponlimsi (Brand),pomalidomide (Generic),Brand-to-Generic,0.7556,7,75%
Intropin (Brand),indomethacin (Generic),Brand-to-Generic,0.7556,7,75%
Prudoxin (Brand),prednisolone (Generic),Brand-to-Generic,0.7556,7,75%
Prudoxin (Brand),prednisolone acetate (Generic),Brand-to-Generic,0.7556,7,75%
Prudoxin (Brand),prednisolone sodium phosphate (Generic),Brand-to-Generic,0.7556,7,75%
Zorbtive (Brand),zolbetuximab (Generic),Brand-to-Generic,0.7556,7,75%
Imuldosa (Brand),imlunestrant (Generic),Brand-to-Generic,0.7556,8,75%
Vancocin (Brand),valacyclovir hydrochloride (Generic),Brand-to-Generic,0.7556,7,75%
alteplase (Generic),dalteparin sodium (Generic),Generic-to-Generic,0.7556,5,75%
cangrelor (Generic),anagrelide hydrochloride (Generic),Generic-to-Generic,0.7556,5,75%
ibutilide fumarate (Generic),dofetilide (Generic),Generic-to-Generic,0.7556,4,75%
Bronchitol (Brand),bromocriptine mesylate (Generic),Brand-to-Generic,0.7556,7,100%
atorvastatin calcium (Generic),Atrovent Hfa (Brand),Generic-to-Brand,0.7556,8,100%
cabotegravir (Generic),capivasertib (Generic),Generic-to-Generic,0.7556,9,75%
cabotegravir sodium (Generic),capivasertib (Generic),Generic-to-Generic,0.7556,9,75%
Glucotrol Xl (Brand),glycopyrrolate (Generic),Brand-to-Generic,0.7556,7,75%
isotretinoin (Generic),istradefylline (Generic),Generic-to-Generic,0.7556,8,100%
Procardia Xl (Brand),prucalopride (Generic),Brand-to-Generic,0.7556,8,75%
pexidartinib hydrochloride (Generic),pegzilarginase (Generic),Generic-to-Generic,0.7556,7,75%
Tromethamine (Brand),triheptanoin (Generic),Brand-to-Generic,0.7556,7,75%
treprostinil (Generic),triheptanoin (Generic),Generic-to-Generic,0.7556,8,75%
carboprost promethazine (Generic),travoprost intracameral (Generic),Generic-to-Generic,0.7555,16,75%
Travatan Z (Brand),trypan blue (Generic),Brand-to-Generic,0.7552,8,75%
ciprofloxacin (Generic),chloroprocaine hydrochloride (Generic),Generic-to-Generic,0.7551,8,75%
ciprofloxacin hydrochloride (Generic),chloroprocaine hydrochloride (Generic),Generic-to-Generic,0.7551,8,75%
avelumab (Generic),adalimumab (Generic),Generic-to-Generic,0.755,4,75%
Blincyto (Brand),belinostat (Generic),Brand-to-Generic,0.755,5,100%
Blincyto (Brand),Bronchitol (Brand),Brand-to-Brand,0.755,5,75%
Vocabria (Brand),vigabatrin (Generic),Brand-to-Generic,0.755,5,75%
Asparlas (Brand),alprazolam (Generic),Brand-to-Generic,0.755,5,75%
Dupixent (Brand),dobutamine (Generic),Brand-to-Generic,0.755,7,75%
Dupixent (Brand),dobutamine hydrochloride (Generic),Brand-to-Generic,0.755,7,75%
Gamifant (Brand),guanfacine (Generic),Brand-to-Generic,0.755,6,75%
Lopreeza (Brand),leuprolide (Generic),Brand-to-Generic,0.755,7,75%
Lopreeza (Brand),leuprolide acetate (Generic),Brand-to-Generic,0.755,7,75%
Lopreeza (Brand),leuprolide mesylate (Generic),Brand-to-Generic,0.755,7,75%
Celontin (Brand),colestipol hydrochloride (Generic),Brand-to-Generic,0.755,6,75%
Diflucan (Brand),daclizumab (Generic),Brand-to-Generic,0.755,6,75%
Voraxaze (Brand),viloxazine hydrochloride (Generic),Brand-to-Generic,0.755,5,75%
Praxbind (Brand),paroxetine (Generic),Brand-to-Generic,0.755,5,75%
Praxbind (Brand),paroxetine hydrochloride (Generic),Brand-to-Generic,0.755,5,75%
Sporanox (Brand),suvorexant (Generic),Brand-to-Generic,0.755,6,75%
Carnitor (Brand),crizotinib (Generic),Brand-to-Generic,0.755,8,75%
mafenide acetate (Generic),meperidine hydrochloride (Generic),Generic-to-Generic,0.755,5,75%
Mifeprex (Brand),Metopirone (Brand),Brand-to-Brand,0.755,7,75%
mitotane (Generic),Multihance (Brand),Generic-to-Brand,0.755,5,75%
Symproic (Brand),somatropin (Generic),Brand-to-Generic,0.755,5,75%
Viracept (Brand),vericiguat (Generic),Brand-to-Generic,0.755,6,75%
Abraxane (Brand),atrasentan (Generic),Brand-to-Generic,0.755,6,75%
Pomalyst (Brand),pitolisant hydrochloride (Generic),Brand-to-Generic,0.755,6,75%
Mestinon (Brand),macitentan (Generic),Brand-to-Generic,0.755,6,100%
Soltamox (Brand),siltuximab (Generic),Brand-to-Generic,0.755,6,75%
Tepadina (Brand),tipranavir (Generic),Brand-to-Generic,0.755,7,75%
Tri-Estarylla (Brand),triclabendazole (Generic),Brand-to-Generic,0.755,10,75%
dichlorphenamide (Generic),dexchlorpheniramine maleate (Generic),Generic-to-Generic,0.755,5,100%
Clinolipid (Brand),clonidine hydrochloride oral (Generic),Brand-to-Generic,0.7549,10,75%
fluconazole (Generic),Flac Otic Oil (Brand),Generic-to-Brand,0.7549,8,75%
Alecensa (Brand),Albendazole (Brand),Brand-to-Brand,0.7545,7,75%
Nexlizet (Brand),nemolizumab (Generic),Brand-to-Generic,0.7545,6,75%
Praxbind (Brand),Prostascint (Brand),Brand-to-Brand,0.7545,6,75%
Recorlev (Brand),regorafenib (Generic),Brand-to-Generic,0.7545,6,75%
Claritin (Brand),clevidipine (Generic),Brand-to-Generic,0.7545,6,75%
Cryselle (Brand),crisaborole (Generic),Brand-to-Generic,0.7545,6,75%
Prilosec (Brand),pralsetinib (Generic),Brand-to-Generic,0.7545,7,100%
Brynovin (Brand),brensocatib (Generic),Brand-to-Generic,0.7545,6,75%
Androgel (Brand),anifrolumab (Generic),Brand-to-Generic,0.7545,7,75%
Tobradex (Brand),tovorafenib (Generic),Brand-to-Generic,0.7545,6,75%
Eprontia (Brand),eplontersen (Generic),Brand-to-Generic,0.7545,6,75%
Trelstar (Brand),Tri-Lo-Marzia (Brand),Brand-to-Brand,0.7545,6,75%
Pacerone (Brand),Pheburane (Brand),Brand-to-Brand,0.7542,5,75%
apixaban (Generic),abciximab (Generic),Generic-to-Generic,0.7542,5,75%
Strensiq (Brand),sotorasib (Generic),Brand-to-Generic,0.7542,5,75%
avacopan (Generic),atogepant (Generic),Generic-to-Generic,0.7542,5,75%
avanafil (Generic),auranofin (Generic),Generic-to-Generic,0.7542,4,75%
Datroway (Brand),Detrol La (Brand),Brand-to-Brand,0.7542,5,75%
Clarinex (Brand),Cuprimine (Brand),Brand-to-Brand,0.7542,5,75%
Prudoxin (Brand),piroxicam (Generic),Brand-to-Generic,0.7542,6,75%
Hemlibra (Brand),Humulin R (Brand),Brand-to-Brand,0.7542,5,75%
Nuvaring (Brand),nafarelin acetate (Generic),Brand-to-Generic,0.7542,5,75%
Besponsa (Brand),buspirone hydrochloride (Generic),Brand-to-Generic,0.7542,5,75%
Zenatane (Brand),Zymfentra (Brand),Brand-to-Brand,0.7542,7,75%
Sporanox (Brand),siponimod (Generic),Brand-to-Generic,0.7542,5,75%
Myfortic (Brand),Micort Hc Cream (Brand),Brand-to-Brand,0.7542,4,75%
Movantik (Brand),Ms Contin (Brand),Brand-to-Brand,0.7542,5,75%
nicotine (Generic),Nesacaine (Brand),Generic-to-Brand,0.7542,5,75%
Nymalize (Brand),Naglazyme (Brand),Brand-to-Brand,0.7542,6,75%
