Drug A,Drug B,Comparison Type,Jaro-Winkler Sim,Levenshtein Dist,Soundex Match
lopinavir and ritonavir (Generic),nirmatrelvir and ritonavir (Generic),Generic-to-Generic,0.9056,9,25%
calcitriol (Generic),calcifediol (Generic),Generic-to-Generic,0.9055,3,75%
gadobutrol (Generic),gadoteridol (Generic),Generic-to-Generic,0.9055,5,50%
desogestrel and ethinyl estradiol (Generic),norethindrone and ethinyl estradiol (Generic),Generic-to-Generic,0.9055,12,0%
elosulfase alfa (Generic),vestronidase alfa (Generic),Generic-to-Generic,0.9053,8,0%
sebelipase alfa (Generic),vestronidase alfa (Generic),Generic-to-Generic,0.9053,7,0%
Alkindi Sprinkle (Brand),Ingrezza Sprinkle (Brand),Brand-to-Brand,0.9052,8,25%
vestronidase alfa (Generic),alglucosidase alfa (Generic),Generic-to-Generic,0.9052,7,0%
Azilsartan Medoxomil (Brand),olmesartan medoxomil (Generic),Brand-to-Generic,0.9051,4,25%
Orencia (Brand),Orenitram (Brand),Brand-to-Brand,0.9048,4,75%
Carbzah (Brand),carbachol (Generic),Brand-to-Generic,0.9048,4,100%
Indocin (Brand),Minocin (Brand),Brand-to-Brand,0.9048,2,25%
sotalol hydrochloride (Generic),Istalol (Brand),Generic-to-Brand,0.9048,2,25%
selenium acid (Generic),mefenamic acid (Generic),Generic-to-Generic,0.9045,6,50%
darbepoetin alfa (Generic),thyrotropin alfa (Generic),Generic-to-Generic,0.9045,8,25%
drospirenone and estradiol (Generic),estradiol and progesterone (Generic),Generic-to-Generic,0.9044,20,0%
bempedoic acid (Generic),zoledronic acid (Generic),Generic-to-Generic,0.9041,6,0%
carglumic acid (Generic),ethacrynic acid (Generic),Generic-to-Generic,0.9041,8,25%
tretinoin (Generic),triheptanoin (Generic),Generic-to-Generic,0.9037,4,50%
icosapent ethinyl (Generic),telotristat ethinyl (Generic),Generic-to-Generic,0.9033,9,0%
bicisate dihydrochloride (Generic),sapropterin dihydrochloride (Generic),Generic-to-Generic,0.9029,9,0%
fentanyl citrate (Generic),tamoxifen citrate (Generic),Generic-to-Generic,0.9026,9,25%
Alkindi Sprinkle (Brand),Drizalma Sprinkle (Brand),Brand-to-Brand,0.9026,8,25%
