ID,Generic Name,Brand Name,Therapeutic Class,Broad Category,Description,Indication
RAW_1272,succinylcholine chloride,"Anectine, Quelicin",Unknown Class,Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Sandoz. Formulation: Injectable for Injection administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_1273,sucralfate,Carafate,Aluminum Complex [EPC],Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Abbvie. Formulation: Suspension for Oral administration.,Used as a therapeutic agent for indications related to: Aluminum Complex [EPC].
RAW_1274,sucroferric oxyhydroxide,Velphoro,Phosphate Binder [EPC],Miscellaneous / Other,"FDA Approved Prescription Drug. Manufactured by Vifor Fresenius. Formulation: Tablet, Chewable for Oral administration.",Used as a therapeutic agent for indications related to: Phosphate Binder [EPC].
RAW_1275,sufentanil citrate,Sufenta Preservative Free,Unknown Class,Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Rising. Formulation: Injectable for Injection administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_1276,sufentanil hydrochloride,Alfenta,Unknown Class,Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Rising. Formulation: Injectable for Injection administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_1277,sugammadex,Bridion,Unknown Class,Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Msd Sub Merck. Formulation: Solution for Intravenous administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_1278,sulbactam and durlobactam,Xacduro,Unknown Class,Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Entasis Therap. Formulation: Powder for Intravenous administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_1279,sulconazole nitrate,Exelderm,Unknown Class,Antimicrobials & Infectious Diseases,FDA Approved Prescription Drug. Manufactured by Journey. Formulation: Cream for Topical administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_1280,sulfamethoxazole and trimethoprim,Bactrim,Sulfonamide Antimicrobial [EPC],Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Sun Pharm Industries. Formulation: Tablet for Oral administration.,Used as a therapeutic agent for indications related to: Sulfonamide Antimicrobial [EPC].
RAW_1281,sulfasalazine,"Azulfidine, Azulfidine En-Tabs",Aminosalicylate [EPC],Miscellaneous / Other,"FDA Approved Prescription Drug. Manufactured by Pfizer. Formulation: Tablet, Delayed Release for Oral administration.",Used as a therapeutic agent for indications related to: Aminosalicylate [EPC].
RAW_1282,sulopenem etzadroxil and probenecid,Orlynvah,Unknown Class,Antimicrobials & Infectious Diseases,FDA Approved Prescription Drug. Manufactured by Iterum Therap. Formulation: Tablet for Oral administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_1283,sumatriptan,"Imitrex, Tosymra",Serotonin-1b and Serotonin-1d Receptor Agonist [EPC],Central Nervous System,FDA Approved Prescription Drug. Manufactured by Glaxosmithkline. Formulation: Tablet for Oral administration.,Used as a therapeutic agent for indications related to: Serotonin-1b and Serotonin-1d Receptor Agonist [EPC].
RAW_1284,sumatriptan succinate,"Onzetra Xsail, Zembrace Symtouch",Unknown Class,Central Nervous System,FDA Approved Prescription Drug. Manufactured by Tonix Meds. Formulation: Solution for Subcutaneous administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_1285,sunitinib malate,Sutent,Unknown Class,Oncology & Immunology,FDA Approved Prescription Drug. Manufactured by Cppi Cv. Formulation: Capsule for Oral administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_1286,sunvozertinib,Zegfrovy,Unknown Class,Oncology & Immunology,FDA Approved Prescription Drug. Manufactured by Dizal Jiangsu. Formulation: Tablet for Oral administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_1287,sutimlimab,Enjaymo,Classical Complement Pathway Inhibitor [EPC],Oncology & Immunology,"FDA Approved Prescription Drug. Manufactured by Recordati Rare Diseases, Inc.. Formulation: Injectable for Injection administration.",Used as a therapeutic agent for indications related to: Classical Complement Pathway Inhibitor [EPC].
RAW_1288,suvorexant,Belsomra,Orexin Receptor Antagonist [EPC],Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Merck Sharp Dohme. Formulation: Tablet for Oral administration.,Used as a therapeutic agent for indications related to: Orexin Receptor Antagonist [EPC].
RAW_1289,suzetrigine,Journavx,Sodium Channel Blocker [EPC],Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Vertex Pharms Inc. Formulation: Tablet for Oral administration.,Used as a therapeutic agent for indications related to: Sodium Channel Blocker [EPC].
RAW_1290,tacrolimus,"Envarsus Xr, Prograf",Unknown Class,Oncology & Immunology,FDA Approved Prescription Drug. Manufactured by Astellas. Formulation: For Suspension for Oral administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_1291,tadalafil,"Adcirca, Alyq, Cialis, N/A, Tadliq",Phosphodiesterase 5 Inhibitor [EPC],Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Cmp Dev Llc. Formulation: Suspension for Oral administration.,Used as a therapeutic agent for indications related to: Phosphodiesterase 5 Inhibitor [EPC].
RAW_1292,tafamidis,Vyndamax,Unknown Class,Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Foldrx Pharms. Formulation: Capsule for Oral administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_1293,tafasitamab,Monjuvi,Unknown Class,Oncology & Immunology,FDA Approved Prescription Drug. Manufactured by Morphosys Us Inc. Formulation: Solution for Intravenous administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_1294,tafenoquine,Arakoda,Unknown Class,Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by 60 Degrees Pharms. Formulation: Tablet for Oral administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
