brand_id,formulation_id
BRAND_624357fe4260ae56ab1b,FORM_cfde5ae9170ad0afe5df
BRAND_48b9491876f600f00f25,FORM_a9938cdd047fc3e8a0c6
BRAND_7e7f13e25e371616e4cb,FORM_f63dfb9c811079f8a126
BRAND_876d23f20c457f12b02f,FORM_4d6686aa95e57d2d4efd
BRAND_68c3b9590707e4a5ec15,FORM_020e4681a23cfdaf85fb
BRAND_fb365cc6eba18fa9b447,FORM_7cacd2fee52594d2c2eb
BRAND_ecd7debd95dd2c4e9375,FORM_0ebf41ec93332058e048
BRAND_ebd34825e0c9c3456c1c,FORM_58903b29d3585d9706a1
BRAND_5ec11c82d546fd140f6b,FORM_5de4d4c2eb6c4fd58a33
BRAND_c68ab1d2251b33536e6b,FORM_a1746cbde1aff5458c3f
BRAND_4e222f5656f9f5273e2d,FORM_379a4b22e0360f3a69ba
BRAND_c164d4f8997c354eeb29,FORM_e575a5537f43842852d9
BRAND_b7be42406ef6bec3746a,FORM_0fefcb929cb2055131e9
BRAND_5703b6ac73c3d8e5a315,FORM_235b6ea98b1813d53515
BRAND_f4f2c548581c648a7a01,FORM_f2a3c6e7f179f4a9e0a2
BRAND_e138ef2193f532e94d25,FORM_d3515f028838b7dcff36
BRAND_9408d19fa8c7df5b74a8,FORM_fc1d976b9cd3064a4cb8
BRAND_3f4a8bd1b25a8a16c41c,FORM_cf2f351c289b4700958e
BRAND_62ace408288947b36c22,FORM_924f88f4668810b4c0f6
BRAND_f1f30c3c1d6510ca3011,FORM_45d9f97e5499a1b07888
BRAND_f1f30c3c1d6510ca3011,FORM_924f88f4668810b4c0f6
BRAND_7e1cdbade9d4509db216,FORM_5b975f945aec7be66998
BRAND_765ae0cc27b1843b4ba2,FORM_45d9f97e5499a1b07888
BRAND_9d5d5dcd15aacbe5a077,FORM_ae4de51474b116aa685d
BRAND_2c1a20b7db0eeaaa224f,FORM_ae4de51474b116aa685d
BRAND_7ab0ee05cc0abf3f41f9,FORM_f5f7b4329e7383da3a63
BRAND_e876ddd26ea12d8de466,FORM_ff50a9cea02d644a7aea
BRAND_a5d2a280f460f4225413,FORM_a1defab315accfe2bd87
BRAND_b96d34ebb07087dc253a,FORM_43644a1bc759b15c7e3b
BRAND_15dcfbc082d9d236aaa3,FORM_f08268964fa6d91c124c
BRAND_8625482e0ce38e17335d,FORM_924f88f4668810b4c0f6
BRAND_8625482e0ce38e17335d,FORM_b5c94b0468ed4b7374b0
BRAND_d50df1195a45ca6d554f,FORM_a385b78f067c0e604598
BRAND_fa5adb0f2449212f620e,FORM_e66a3a021e2e5def7439
BRAND_f2400a0af16cc5d90211,FORM_67ae2a6a5a75bbf3ab63
BRAND_3f33430091ec926436df,FORM_7eba2650b7a776c5fde5
BRAND_7154030b9914037d1b81,FORM_1ca88cfa41606b28145f
BRAND_86507b382d0e53c20843,FORM_38bb1a85a94aa4a895c9
BRAND_563e8c06ba294bdbf70e,FORM_ae4de51474b116aa685d
BRAND_41e29efbaf2e918ef838,FORM_9525017c5f0ae6e12f39
BRAND_3f980294b2b5e2d67a6e,FORM_ae4de51474b116aa685d
BRAND_910ea6c7941c96c3dfef,FORM_2412dc44ca55f44d546a
BRAND_9a1d2de99bfb7eaf4f1b,FORM_5478dcaf141efc088e89
BRAND_d68eac8a0a6bebf569dc,FORM_7ae669b86fba6d9a9d8b
BRAND_d68eac8a0a6bebf569dc,FORM_1b371bccc2189423e52d
BRAND_9a46150ca682ee257e21,FORM_d095cdb8e3f599b95304
BRAND_13c5dbc46db44e9f9106,FORM_482b89cabc8a165b9252
BRAND_f907c6dda0098d6b7b15,FORM_54238e9415df5dffbf4b
BRAND_952791c7934bac602e91,FORM_95f5790c1bec483d9acb
